"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
1,"22/05/2017 15:34",1,4,3,3,6,4,4,3,5,4,7,7,7,4,1,2,5,NA,NA,4,3.33333333333333
2,"24/05/2017 8:48",5,3,4,3,5,3,3,4,3,2,5,4,4,5,5,5,4,NA,NA,4.375,4.44444444444444
3,"24/05/2017 11:44",5,4,4,7,3,1,1,7,4,1,5,2,5,7,7,1,1,NA,NA,3.875,6.22222222222222
4,"24/05/2017 11:51",6,4,7,6,5,1,1,6,5,1,3,1,4,4,5,1,2,NA,NA,4.5,5.33333333333333
5,"24/05/2017 13:30",6,2,4,7,3,1,1,6,2,3,1,3,6,6,6,1,1,NA,NA,2.75,6.33333333333333
6,"24/05/2017 13:33",5,3,7,6,5,2,1,7,6,1,5,1,6,5,7,1,1,NA,NA,4.875,6
7,"24/05/2017 13:39",4,4,4,5,4,5,2,6,5,6,4,5,2,2,4,4,7,NA,NA,3.5,3.44444444444444
8,"24/05/2017 13:42",4,3,3,3,4,4,3,4,3,4,3,4,4,4,4,3,3,NA,NA,3.375,4.11111111111111
9,"24/05/2017 13:45",4,1,2,4,3,2,1,5,2,1,1,1,4,4,5,1,1,NA,NA,3,5.11111111111111
10,"24/05/2017 13:58",6,2,2,7,6,6,1,6,4,3,4,3,5,6,6,2,2,NA,NA,3.625,5.55555555555556
11,"24/05/2017 14:01",6,3,3,5,3,2,1,6,3,4,2,4,6,6,6,1,1,NA,NA,2.625,5.88888888888889
12,"24/05/2017 14:06",6,2,4,5,3,1,1,6,4,1,2,2,6,5,6,1,1,NA,NA,3.5,6
13,"24/05/2017 14:13",6,2,2,5,3,1,2,6,3,2,2,6,6,5,5,1,2,NA,NA,2.625,5.77777777777778
14,"24/05/2017 14:23",7,3,6,6,6,1,3,6,6,2,5,2,7,6,6,2,2,NA,NA,5,6.22222222222222
15,"24/05/2017 14:32",5,4,2,5,4,2,1,5,2,2,1,6,5,4,6,4,1,NA,NA,2.75,5.22222222222222
16,"24/05/2017 14:51",4,1,2,5,1,4,1,5,4,2,2,2,5,6,5,1,5,NA,NA,2.875,4.88888888888889
17,"24/05/2017 17:34",6,2,4,5,4,4,2,6,4,4,4,4,5,6,6,2,2,NA,NA,3.5,5.55555555555556
18,"24/05/2017 18:04",6,3,4,5,4,1,1,6,1,2,3,2,6,6,6,1,1,NA,NA,3.25,6
19,"24/05/2017 18:11",5,3,5,4,6,2,1,4,4,2,5,2,5,5,5,1,1,NA,NA,4.25,5.11111111111111
20,"24/05/2017 18:23",4,2,3,5,3,1,2,5,3,4,3,3,4,5,5,2,3,NA,NA,3.125,5.11111111111111
21,"24/05/2017 18:31",5,5,7,6,6,2,1,6,6,4,5,2,6,6,5,4,5,NA,NA,4.875,5.11111111111111
22,"24/05/2017 18:37",5,3,5,4,4,4,2,5,5,2,2,2,5,4,5,5,4,NA,NA,4.375,4.55555555555556
23,"24/05/2017 19:11",6,3,3,4,4,1,2,6,3,1,3,2,5,6,4,2,2,NA,NA,3.75,5.44444444444444
24,"24/05/2017 19:39",6,4,5,7,7,7,2,7,7,7,6,1,7,6,6,1,7,NA,NA,4.5,5
25,"24/05/2017 20:06",6,5,4,6,4,2,1,5,3,3,5,4,4,5,6,3,3,NA,NA,3.625,5.11111111111111
26,"24/05/2017 20:13",6,2,4,6,4,1,3,6,4,1,5,3,6,4,6,6,3,NA,NA,4.75,5.77777777777778
27,"24/05/2017 20:46",4,2,5,4,4,5,1,2,4,2,4,2,4,4,5,3,2,NA,NA,4.125,4.22222222222222
28,"24/05/2017 21:27",7,2,4,5,5,1,1,4,2,7,4,4,5,5,5,1,1,NA,NA,2.75,5.66666666666667
29,"24/05/2017 21:53",7,2,4,6,3,2,1,6,5,2,5,3,6,6,1,1,2,NA,NA,3.75,5.55555555555556
30,"24/05/2017 22:22",5,4,5,5,4,5,1,5,4,4,4,3,4,5,5,2,2,NA,NA,3.625,4.66666666666667
31,"24/05/2017 23:28",6,4,2,7,2,2,1,6,2,5,4,5,5,6,5,1,2,NA,NA,2.25,5.66666666666667
32,"24/05/2017 23:36",6,3,5,5,4,2,2,6,5,2,5,4,6,6,6,3,3,NA,NA,4.25,5.66666666666667
33,"25/05/2017 0:16",5,4,4,6,3,2,2,6,5,2,4,3,6,5,5,4,2,NA,NA,4.125,5.44444444444444
34,"25/05/2017 8:47",5,2,2,5,3,3,2,6,2,6,4,5,6,6,6,2,6,NA,NA,2.5,5.22222222222222
35,"25/05/2017 8:50",4,2,3,3,2,4,1,5,4,4,2,3,2,3,2,3,1,NA,NA,3,4
36,"25/05/2017 9:35",7,1,3,7,6,1,2,7,5,2,5,1,5,7,7,1,1,NA,NA,4.375,6.77777777777778
37,"25/05/2017 9:58",5,3,5,4,6,4,2,7,6,3,4,3,7,7,7,6,6,NA,NA,4.875,5.33333333333333
38,"25/05/2017 14:32",5,3,5,5,5,2,4,5,6,2,5,2,5,6,6,3,3,NA,NA,5,5.33333333333333
39,"25/05/2017 15:20",5,2,4,4,5,4,1,5,3,4,1,5,5,6,6,4,1,NA,NA,3.125,5.33333333333333
40,"25/05/2017 21:50",6,4,2,6,4,5,1,7,2,4,5,7,5,5,7,1,1,NA,NA,2.5,5.55555555555556
41,"25/05/2017 23:05",5,3,4,3,4,3,1,4,3,4,2,3,4,3,4,1,2,NA,NA,3,4.33333333333333
42,"25/05/2017 23:53",7,1,1,7,1,1,1,7,1,6,1,1,4,2,6,1,1,NA,NA,1.875,6
