num,Date,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,gen,age
1,2017-05-22 15:34:59,1,4,3,3,6,4,4,3,5,4,7,7,7,4,1,2,5,,
2,2017-05-24 08:48:05,5,3,4,3,5,3,3,4,3,2,5,4,4,5,5,5,4,,
3,2017-05-24 11:44:17,5,4,4,7,3,1,1,7,4,1,5,2,5,7,7,1,1,,
4,2017-05-24 11:51:34,6,4,7,6,5,1,1,6,5,1,3,1,4,4,5,1,2,,
5,2017-05-24 13:30:05,6,2,4,7,3,1,1,6,2,3,1,3,6,6,6,1,1,,
6,2017-05-24 13:33:36,5,3,7,6,5,2,1,7,6,1,5,1,6,5,7,1,1,,
7,2017-05-24 13:39:45,4,4,4,5,4,5,2,6,5,6,4,5,2,2,4,4,7,,
8,2017-05-24 13:42:38,4,3,3,3,4,4,3,4,3,4,3,4,4,4,4,3,3,,
9,2017-05-24 13:45:44,4,1,2,4,3,2,1,5,2,1,1,1,4,4,5,1,1,,
10,2017-05-24 13:58:49,6,2,2,7,6,6,1,6,4,3,4,3,5,6,6,2,2,,
11,2017-05-24 14:01:32,6,3,3,5,3,2,1,6,3,4,2,4,6,6,6,1,1,,
12,2017-05-24 14:06:20,6,2,4,5,3,1,1,6,4,1,2,2,6,5,6,1,1,,
13,2017-05-24 14:13:47,6,2,2,5,3,1,2,6,3,2,2,6,6,5,5,1,2,,
14,2017-05-24 14:23:34,7,3,6,6,6,1,3,6,6,2,5,2,7,6,6,2,2,,
15,2017-05-24 14:32:41,5,4,2,5,4,2,1,5,2,2,1,6,5,4,6,4,1,,
16,2017-05-24 14:51:13,4,1,2,5,1,4,1,5,4,2,2,2,5,6,5,1,5,,
17,2017-05-24 17:34:42,6,2,4,5,4,4,2,6,4,4,4,4,5,6,6,2,2,,
18,2017-05-24 18:04:09,6,3,4,5,4,1,1,6,1,2,3,2,6,6,6,1,1,,
19,2017-05-24 18:11:14,5,3,5,4,6,2,1,4,4,2,5,2,5,5,5,1,1,,
20,2017-05-24 18:23:34,4,2,3,5,3,1,2,5,3,4,3,3,4,5,5,2,3,,
21,2017-05-24 18:31:18,5,5,7,6,6,2,1,6,6,4,5,2,6,6,5,4,5,,
22,2017-05-24 18:37:00,5,3,5,4,4,4,2,5,5,2,2,2,5,4,5,5,4,,
23,2017-05-24 19:11:16,6,3,3,4,4,1,2,6,3,1,3,2,5,6,4,2,2,,
24,2017-05-24 19:39:27,6,4,5,7,7,7,2,7,7,7,6,1,7,6,6,1,7,,
25,2017-05-24 20:06:32,6,5,4,6,4,2,1,5,3,3,5,4,4,5,6,3,3,,
26,2017-05-24 20:13:34,6,2,4,6,4,1,3,6,4,1,5,3,6,4,6,6,3,,
27,2017-05-24 20:46:41,4,2,5,4,4,5,1,2,4,2,4,2,4,4,5,3,2,,
28,2017-05-24 21:27:00,7,2,4,5,5,1,1,4,2,7,4,4,5,5,5,1,1,,
29,2017-05-24 21:53:29,7,2,4,6,3,2,1,6,5,2,5,3,6,6,1,1,2,,
30,2017-05-24 22:22:01,5,4,5,5,4,5,1,5,4,4,4,3,4,5,5,2,2,,
31,2017-05-24 23:28:12,6,4,2,7,2,2,1,6,2,5,4,5,5,6,5,1,2,,
32,2017-05-24 23:36:29,6,3,5,5,4,2,2,6,5,2,5,4,6,6,6,3,3,,
33,2017-05-25 00:16:05,5,4,4,6,3,2,2,6,5,2,4,3,6,5,5,4,2,,
34,2017-05-25 08:47:58,5,2,2,5,3,3,2,6,2,6,4,5,6,6,6,2,6,,
35,2017-05-25 08:50:43,4,2,3,3,2,4,1,5,4,4,2,3,2,3,2,3,1,,
36,2017-05-25 09:35:23,7,1,3,7,6,1,2,7,5,2,5,1,5,7,7,1,1,,
37,2017-05-25 09:58:24,5,3,5,4,6,4,2,7,6,3,4,3,7,7,7,6,6,,
38,2017-05-25 14:32:08,5,3,5,5,5,2,4,5,6,2,5,2,5,6,6,3,3,,
39,2017-05-25 15:20:57,5,2,4,4,5,4,1,5,3,4,1,5,5,6,6,4,1,,
40,2017-05-25 21:50:57,6,4,2,6,4,5,1,7,2,4,5,7,5,5,7,1,1,,
41,2017-05-25 23:05:19,5,3,4,3,4,3,1,4,3,4,2,3,4,3,4,1,2,,
42,2017-05-25 23:53:12,7,1,1,7,1,1,1,7,1,6,1,1,4,2,6,1,1,,
43,2017-05-26 12:45:39,5,4,5,4,4,3,5,6,5,4,3,4,6,6,5,2,6,,
44,2017-05-26 12:58:20,7,4,4,6,4,2,2,5,5,4,4,3,6,5,5,3,2,,
45,2017-05-26 13:34:21,4,1,5,3,2,6,1,7,4,5,3,2,2,4,4,2,1,,
46,2017-05-26 15:20:45,6,2,5,4,3,2,1,6,6,2,6,2,6,6,6,2,3,,
47,2017-05-26 15:37:40,6,4,4,4,2,2,1,6,2,2,3,3,7,6,6,1,2,,
48,2017-05-26 16:31:49,6,2,5,7,4,2,1,7,2,3,4,2,6,7,6,2,1,,
49,2017-05-26 17:11:44,6,2,5,5,3,5,3,5,6,4,5,2,3,6,5,2,2,,
50,2017-05-26 17:19:10,5,1,1,6,4,1,1,7,4,1,1,3,6,6,7,1,1,,
51,2017-05-26 17:25:35,6,5,4,7,3,2,1,6,3,2,4,4,5,5,6,2,1,,
52,2017-05-26 20:22:31,6,2,2,5,3,2,1,6,3,2,2,4,5,5,6,2,1,,
53,2017-05-27 10:45:09,4,3,4,4,3,3,1,5,4,4,2,2,2,4,4,1,1,,
54,2017-05-27 12:25:15,4,1,4,4,4,1,1,4,4,1,4,2,4,5,5,1,2,,
55,2017-05-27 15:53:59,6,2,4,6,2,1,1,6,4,1,4,1,6,6,6,3,1,,
56,2017-05-27 16:25:50,6,2,4,6,3,2,2,6,3,4,4,3,7,6,6,2,2,,
